,age,job,marital,education,default,housing,loan,contact,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,subscribed
103,52,0,0,6,0,0,0,1,1.0,999.0,0.0,40.4,93.994,-36.4,4.857,5191.0,0
104,52,0,0,6,0,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
105,43,7,2,3,1,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
106,34,3,1,1,0,2,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
107,35,0,1,3,0,2,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
108,42,2,1,7,1,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
109,43,9,1,7,1,2,2,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
110,60,5,0,6,1,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
111,58,10,1,0,1,0,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
112,35,7,0,3,0,2,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
113,55,1,1,2,1,2,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
114,37,4,1,6,0,0,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
115,36,1,1,3,0,0,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
116,52,0,0,6,0,0,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
117,57,1,0,7,1,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
118,56,0,1,7,0,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,83.9,5191.0,0
119,48,1,0,0,1,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
120,40,1,1,3,1,2,0,1,1.0,999.0,0.0,17.3,93.994,-36.4,4.857,5191.0,0
121,49,1,0,3,0,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
122,41,7,1,3,0,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
123,45,9,1,3,0,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
124,32,0,1,6,0,2,2,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
125,42,0,1,6,0,0,2,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
126,50,0,1,1,0,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
127,31,9,0,5,0,2,2,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
128,56,5,1,0,0,2,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
129,41,9,1,5,1,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,1
130,37,1,1,1,0,2,2,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
131,41,9,1,5,1,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
132,35,1,1,7,0,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
133,37,1,1,1,0,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
134,52,4,1,6,0,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
135,39,4,0,6,0,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
136,39,3,1,0,1,0,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
137,56,1,1,0,1,0,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
138,34,7,1,3,0,2,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
139,45,1,1,2,1,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,1
140,43,10,2,6,0,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
141,56,4,1,7,0,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
142,39,4,1,6,0,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
143,53,1,1,0,0,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
144,38,11,0,3,1,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
145,42,1,1,0,1,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
146,42,1,1,0,1,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
147,35,0,2,3,0,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
148,40,0,1,6,1,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
149,51,1,1,0,0,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
150,60,1,1,2,1,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
151,56,2,1,7,1,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
152,39,7,0,3,1,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
153,56,2,1,7,1,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
154,40,1,1,7,0,2,2,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
155,36,1,1,2,0,2,2,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
156,51,1,1,7,1,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,95.4,5191.0,0
157,51,1,1,7,1,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
158,43,9,2,5,0,2,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
159,59,7,1,3,0,0,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
160,24,4,2,6,0,2,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
161,37,1,2,2,1,2,2,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
162,40,1,1,2,1,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
163,42,1,1,2,1,0,0,1,3.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
164,39,7,0,3,1,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
165,37,2,1,1,0,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
166,38,7,1,3,0,2,2,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
167,56,0,0,7,1,0,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
168,40,1,1,7,0,0,0,1,2.0,999.0,0.0,1.1,93.994,-98.6,4.857,5191.0,0
169,54,4,0,6,0,2,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
170,43,1,1,3,1,0,2,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
171,36,7,1,3,1,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
172,45,9,1,6,0,2,2,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
173,42,0,2,6,1,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
174,43,7,1,3,0,0,0,1,3.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
175,46,4,1,2,0,0,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
176,44,7,1,3,0,2,2,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
177,51,0,2,1,0,0,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
178,28,7,1,3,0,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
179,37,1,1,2,0,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
180,34,9,1,3,0,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
181,46,1,1,1,1,2,0,1,1.0,999.0,0.0,19.2,93.994,-36.4,4.857,5191.0,0
182,42,1,1,2,0,2,2,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,1
183,36,0,1,6,0,2,0,1,3.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
184,54,1,1,0,1,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
185,57,4,1,6,0,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
186,51,9,1,1,1,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
187,54,5,1,3,1,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
188,49,1,1,0,1,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
189,34,0,1,6,0,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
190,41,9,1,5,0,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
191,38,1,2,2,0,2,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
192,45,4,0,6,0,0,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
193,42,9,1,6,0,0,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
194,34,1,2,2,1,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
195,48,1,1,0,0,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
196,37,0,1,3,1,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
197,34,1,2,2,1,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
198,40,0,1,2,1,2,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
199,43,1,1,1,0,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
200,33,7,1,3,0,0,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
201,32,7,2,1,0,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
202,39,1,1,3,0,2,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
203,43,0,1,7,0,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,98.3,5191.0,0
204,44,1,1,2,0,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
205,35,8,2,6,1,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
206,35,8,2,6,1,2,2,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
207,35,10,1,5,0,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
208,36,7,2,0,0,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
209,35,8,2,6,1,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
210,36,8,2,2,0,2,0,1,1.0,999.0,0.0,20.3,93.994,-36.4,4.857,5191.0,0
211,55,3,0,6,0,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
212,59,0,1,6,0,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
213,57,5,1,7,1,0,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
214,39,1,1,5,1,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
215,39,3,1,0,1,2,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
216,30,1,2,7,0,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
217,30,1,2,7,0,2,2,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
218,50,3,1,0,1,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
219,40,7,1,3,0,0,0,1,3.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
220,35,0,1,3,0,2,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
221,43,9,1,7,1,0,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
222,36,7,2,1,1,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
223,46,9,1,0,1,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
224,40,9,1,2,0,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
225,58,5,1,6,0,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
227,35,0,2,6,0,0,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
228,43,5,1,0,1,0,0,1,3.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
229,45,1,1,0,0,2,2,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
230,39,0,1,5,0,2,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
231,50,7,0,5,0,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
232,32,4,0,0,1,2,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
233,39,0,1,3,1,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
234,52,6,1,6,1,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
235,44,0,1,5,0,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
236,56,1,1,0,0,0,0,1,1.0,999.0,0.0,1.1,93.994,-95.4,4.857,5191.0,0
237,48,0,1,3,0,0,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
238,33,7,1,3,1,0,2,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
239,43,4,1,6,1,0,2,1,3.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
240,57,5,1,3,0,0,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
241,36,9,2,5,0,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
242,34,4,1,6,0,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
243,34,7,2,2,0,0,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
244,30,9,1,6,1,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
245,33,7,0,7,0,0,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
246,32,9,2,5,0,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
247,36,9,2,3,0,2,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
248,36,1,2,3,0,0,2,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
249,33,7,2,3,0,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
250,40,9,0,5,0,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
251,41,1,1,0,0,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
252,51,7,1,1,0,2,0,1,1.0,999.0,0.0,33.2,93.994,-36.4,4.857,5191.0,0
253,36,9,1,5,0,2,0,1,3.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
254,28,7,1,7,0,0,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
255,53,7,1,3,0,2,2,1,3.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
256,58,1,1,2,1,2,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
257,45,4,1,2,0,0,2,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
258,43,9,1,7,0,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
